Soort,Voorraad,Prijs,Niet inpakken
Strelitzia reginae Mandelas Gold,90, €  4.00 ,
Strongylodon siderospermum,11, €  5.00 ,
Synsepalum dulcificum,, €  6.00 ,x
Tacca chantrieri,1100, €  3.50 ,
Tacca integrifolia,1200, €  3.50 ,
Tamarindus indica,100, €  3.00 ,
Theobroma cacao,, €  6.00 ,x
Thevetia peruviana,100, €  4.00 ,
Toona sinensis,550, €  3.00 ,
Typhonium venosum,, €  3.00 ,x
Vanilla planifolia,, €  7.00 ,
Veitchia merrillii,100, €  4.00 ,
Veltheimia bracteata,, €  3.50 ,
Victoria amazonica,, €  10.00 ,x
Welwitschia mirabilis,, €  8.00 ,
Wercklea ferox,260, €  3.00 ,
Withania somnifera,300, €  3.00 ,
Wodyetia bifurcata,, €  6.00 ,
Zanthoxylum piperitum,200, €  3.00 ,
,,,
,,,
,,,
